{'Mean Episode Return': Array(24.348694, dtype=float32), 'Mean Episode Length': Array(64.03291, dtype=float32)} step=10240000
{'Mean Episode Return': Array(24.752558, dtype=float32), 'Mean Episode Length': Array(65.36083, dtype=float32)} step=10291200
{'Mean Episode Return': Array(25.01515, dtype=float32), 'Mean Episode Length': Array(65.412224, dtype=float32)} step=10342400
{'Mean Episode Return': Array(25.14999, dtype=float32), 'Mean Episode Length': Array(65.59621, dtype=float32)} step=10393600
{'Mean Episode Return': Array(25.166979, dtype=float32), 'Mean Episode Length': Array(66.138466, dtype=float32)} step=10444800
{'Mean Episode Return': Array(25.373646, dtype=float32), 'Mean Episode Length': Array(66.38634, dtype=float32)} step=10496000
{'Mean Episode Return': Array(25.615726, dtype=float32), 'Mean Episode Length': Array(67.4526, dtype=float32)} step=10547200
{'Mean Episode Return': Array(26.169437, dtype=float32), 'Mean Episode Length': Array(67.48115, dtype=float32)} step=10598400
{'Mean Episode Return': Array(26.086792, dtype=float32), 'Mean Episode Length': Array(67.31974, dtype=float32)} step=10649600
{'Mean Episode Return': Array(26.804482, dtype=float32), 'Mean Episode Length': Array(68.29245, dtype=float32)} step=10700800
{'Mean Episode Return': Array(26.71257, dtype=float32), 'Mean Episode Length': Array(68.5, dtype=float32)} step=10752000
{'Mean Episode Return': Array(26.713123, dtype=float32), 'Mean Episode Length': Array(68.43855, dtype=float32)} step=10803200
