{'Mean Episode Return': Array(23.976046, dtype=float32), 'Mean Episode Length': Array(70.45921, dtype=float32)} step=31948800
{'Mean Episode Return': Array(24.261631, dtype=float32), 'Mean Episode Length': Array(71.02798, dtype=float32)} step=32153600
{'Mean Episode Return': Array(24.535933, dtype=float32), 'Mean Episode Length': Array(71.64262, dtype=float32)} step=32358400
{'Mean Episode Return': Array(24.30881, dtype=float32), 'Mean Episode Length': Array(70.58952, dtype=float32)} step=32563200
{'Mean Episode Return': Array(24.111286, dtype=float32), 'Mean Episode Length': Array(71.307915, dtype=float32)} step=32768000
{'Mean Episode Return': Array(25.026054, dtype=float32), 'Mean Episode Length': Array(72.264786, dtype=float32)} step=32972800
{'Mean Episode Return': Array(24.12251, dtype=float32), 'Mean Episode Length': Array(70.709755, dtype=float32)} step=33177600
{'Mean Episode Return': Array(24.172995, dtype=float32), 'Mean Episode Length': Array(70.97456, dtype=float32)} step=33382400
{'Mean Episode Return': Array(24.777834, dtype=float32), 'Mean Episode Length': Array(72.28577, dtype=float32)} step=33587200
{'Mean Episode Return': Array(24.685036, dtype=float32), 'Mean Episode Length': Array(71.58867, dtype=float32)} step=33792000
{'Mean Episode Return': Array(24.587172, dtype=float32), 'Mean Episode Length': Array(72.15187, dtype=float32)} step=33996800
{'Mean Episode Return': Array(24.396366, dtype=float32), 'Mean Episode Length': Array(72.147705, dtype=float32)} step=34201600
{'Mean Episode Return': Array(24.90893, dtype=float32), 'Mean Episode Length': Array(72.30666, dtype=float32)} step=34406400
{'Mean Episode Return': Array(24.660055, dtype=float32), 'Mean Episode Length': Array(71.90443, dtype=float32)} step=34611200
{'Mean Episode Return': Array(24.705929, dtype=float32), 'Mean Episode Length': Array(72.29044, dtype=float32)} step=34816000
{'Mean Episode Return': Array(24.67599, dtype=float32), 'Mean Episode Length': Array(72.132835, dtype=float32)} step=35020800
{'Mean Episode Return': Array(24.574331, dtype=float32), 'Mean Episode Length': Array(72.29869, dtype=float32)} step=35225600
{'Mean Episode Return': Array(24.71474, dtype=float32), 'Mean Episode Length': Array(72.14605, dtype=float32)} step=35430400
{'Mean Episode Return': Array(24.94768, dtype=float32), 'Mean Episode Length': Array(73.02457, dtype=float32)} step=35635200
{'Mean Episode Return': Array(25.099249, dtype=float32), 'Mean Episode Length': Array(73.174675, dtype=float32)} step=35840000
{'Mean Episode Return': Array(24.751024, dtype=float32), 'Mean Episode Length': Array(72.33701, dtype=float32)} step=36044800
{'Mean Episode Return': Array(24.911945, dtype=float32), 'Mean Episode Length': Array(73.059204, dtype=float32)} step=36249600
{'Mean Episode Return': Array(25.088396, dtype=float32), 'Mean Episode Length': Array(73.684395, dtype=float32)} step=36454400
{'Mean Episode Return': Array(25.338163, dtype=float32), 'Mean Episode Length': Array(74.42785, dtype=float32)} step=36659200
{'Mean Episode Return': Array(25.097733, dtype=float32), 'Mean Episode Length': Array(74.113335, dtype=float32)} step=36864000
{'Mean Episode Return': Array(24.809866, dtype=float32), 'Mean Episode Length': Array(73.04044, dtype=float32)} step=37068800
{'Mean Episode Return': Array(25.318521, dtype=float32), 'Mean Episode Length': Array(73.89816, dtype=float32)} step=37273600
{'Mean Episode Return': Array(25.415232, dtype=float32), 'Mean Episode Length': Array(74.4846, dtype=float32)} step=37478400
{'Mean Episode Return': Array(25.461727, dtype=float32), 'Mean Episode Length': Array(74.313126, dtype=float32)} step=37683200
{'Mean Episode Return': Array(24.840605, dtype=float32), 'Mean Episode Length': Array(73.46876, dtype=float32)} step=37888000
{'Mean Episode Return': Array(24.939768, dtype=float32), 'Mean Episode Length': Array(73.068794, dtype=float32)} step=38092800
{'Mean Episode Return': Array(25.329329, dtype=float32), 'Mean Episode Length': Array(74.3583, dtype=float32)} step=38297600
{'Mean Episode Return': Array(25.389544, dtype=float32), 'Mean Episode Length': Array(74.251465, dtype=float32)} step=38502400
{'Mean Episode Return': Array(25.027111, dtype=float32), 'Mean Episode Length': Array(73.79207, dtype=float32)} step=38707200
{'Mean Episode Return': Array(25.53384, dtype=float32), 'Mean Episode Length': Array(75.22075, dtype=float32)} step=38912000
{'Mean Episode Return': Array(25.018608, dtype=float32), 'Mean Episode Length': Array(73.89752, dtype=float32)} step=39116800
{'Mean Episode Return': Array(25.338923, dtype=float32), 'Mean Episode Length': Array(74.35337, dtype=float32)} step=39321600
{'Mean Episode Return': Array(25.331902, dtype=float32), 'Mean Episode Length': Array(73.925514, dtype=float32)} step=39526400
{'Mean Episode Return': Array(25.531404, dtype=float32), 'Mean Episode Length': Array(74.75009, dtype=float32)} step=39731200
{'Mean Episode Return': Array(25.646086, dtype=float32), 'Mean Episode Length': Array(74.744774, dtype=float32)} step=39936000
