Timestep,mot_shoulder_flex_r,mot_shoulder_add_r,mot_shoulder_rot_r,mot_elbow_flex_r,mot_pro_sup_r,mot_wrist_flex_r,mot_wrist_dev_r,mot_shoulder_flex_l,mot_shoulder_add_l,mot_shoulder_rot_l,mot_elbow_flex_l,mot_pro_sup_l,mot_wrist_flex_l,mot_wrist_dev_l
33,-13.88654,-12.063712,-1.7762454,-3.0769794,33.191338,-5.9234114,7.861385,-12.011461,-9.868508,-0.42471948,0.36469093,29.982105,-8.442159,11.093457
34,-4.35974,-12.198953,-3.6414855,-0.6404275,34.451286,-5.7747326,7.700364,-13.052955,0.89452803,1.5623463,0.9399234,29.711979,-8.318192,11.193064
35,-7.123303,-10.100585,-1.4275107,0.068732016,34.832123,-5.362283,7.8193607,-13.103601,-7.20692,-0.63441724,1.3101366,29.622547,-8.452686,11.50107
36,-3.8509157,-4.7465763,-0.33293423,3.4787738,34.744537,-4.8706636,7.599902,-6.8824205,-15.375649,-1.3726574,3.4365013,28.751677,-8.662927,11.513959
37,3.7302847,-9.189803,1.957781,4.241715,35.87042,-4.799496,7.629094,1.0710876,-3.0002024,0.56207,6.0941873,27.929739,-8.995951,11.934243
38,5.04188,-6.849169,0.7074229,6.083647,35.365894,-4.554407,8.179217,11.596667,-13.735139,-3.0530422,6.749424,27.302725,-8.944853,11.911758
39,4.5034227,-3.6571631,1.764617,5.606311,35.70873,-4.803016,8.137185,12.598475,-3.699077,-0.47167468,7.4798512,26.987778,-8.772341,11.940481
40,5.1635604,-3.5040314,1.4448283,4.3938775,35.2122,-5.1047335,8.480843,2.9412405,13.999459,2.3852847,8.621704,27.02206,-8.776384,11.859619
41,-2.7281244,-2.6859374,2.1932552,6.605489,36.75001,-4.8148656,9.55181,12.474462,8.239289,0.86026394,7.9619455,27.23557,-8.4000435,12.480135
42,-2.2224498,-5.4472237,-0.7850324,2.7265599,35.487103,-4.3581963,10.18736,15.638031,-11.93485,-1.9974343,5.2018933,26.992641,-9.107312,12.348871
43,-7.219519,-1.6725088,-2.323025,-0.9405464,35.598843,-3.4405503,9.872525,6.658712,-9.943606,-4.8216505,4.201271,26.582289,-9.366534,12.357719
44,-4.358616,1.8247358,-6.2433863,6.839053,35.608128,-3.6399693,9.540056,-5.1631,-12.825318,-0.8973198,1.4964418,28.284246,-8.85869,12.017608
45,26.32739,-13.4361515,-3.6163576,7.368042,36.95976,-4.153609,10.595985,-4.3086934,1.748953,3.1790824,7.0336795,27.560072,-9.91912,12.315797
46,-0.82214594,0.53565377,-2.0971189,4.253453,37.517384,-3.8950622,10.916759,-2.7233963,10.80922,3.4578319,1.6029332,28.734768,-9.668519,12.533009
