{'Mean Episode Return': Array(44.2914, dtype=float32), 'Mean Episode Length': Array(89.1113, dtype=float32)} step=9830400
{'Mean Episode Return': Array(44.219063, dtype=float32), 'Mean Episode Length': Array(88.95246, dtype=float32)} step=9881600
{'Mean Episode Return': Array(44.10596, dtype=float32), 'Mean Episode Length': Array(88.32558, dtype=float32)} step=9932800
{'Mean Episode Return': Array(44.902237, dtype=float32), 'Mean Episode Length': Array(89.89208, dtype=float32)} step=9984000
{'Mean Episode Return': Array(45.0106, dtype=float32), 'Mean Episode Length': Array(89.56169, dtype=float32)} step=10035200
{'Mean Episode Return': Array(45.868504, dtype=float32), 'Mean Episode Length': Array(90.46901, dtype=float32)} step=10086400
{'Mean Episode Return': Array(45.544647, dtype=float32), 'Mean Episode Length': Array(89.31059, dtype=float32)} step=10137600
{'Mean Episode Return': Array(46.594757, dtype=float32), 'Mean Episode Length': Array(90.756096, dtype=float32)} step=10188800
{'Mean Episode Return': Array(44.57001, dtype=float32), 'Mean Episode Length': Array(88.19726, dtype=float32)} step=10240000
{'Mean Episode Return': Array(45.44333, dtype=float32), 'Mean Episode Length': Array(88.052635, dtype=float32)} step=10291200
{'Mean Episode Return': Array(45.382465, dtype=float32), 'Mean Episode Length': Array(87.77643, dtype=float32)} step=10342400
{'Mean Episode Return': Array(46.38066, dtype=float32), 'Mean Episode Length': Array(90.11193, dtype=float32)} step=10393600
{'Mean Episode Return': Array(47.890324, dtype=float32), 'Mean Episode Length': Array(92.86729, dtype=float32)} step=10444800
{'Mean Episode Return': Array(47.969936, dtype=float32), 'Mean Episode Length': Array(93.321304, dtype=float32)} step=10496000
{'Mean Episode Return': Array(48.07856, dtype=float32), 'Mean Episode Length': Array(92.07194, dtype=float32)} step=10547200
{'Mean Episode Return': Array(45.859074, dtype=float32), 'Mean Episode Length': Array(88.60034, dtype=float32)} step=10598400
{'Mean Episode Return': Array(46.09094, dtype=float32), 'Mean Episode Length': Array(89.47619, dtype=float32)} step=10649600
{'Mean Episode Return': Array(45.107136, dtype=float32), 'Mean Episode Length': Array(90.33273, dtype=float32)} step=10700800
{'Mean Episode Return': Array(45.832203, dtype=float32), 'Mean Episode Length': Array(91.237915, dtype=float32)} step=10752000
{'Mean Episode Return': Array(45.025913, dtype=float32), 'Mean Episode Length': Array(91.8079, dtype=float32)} step=10803200
